struct planet
animalColor striped
animalColor spotted
animalColor red
animalColor brown
animalColor white
animalColor many-colored
animalColor orange
animalColor mottled
animalColor translucent
animalColor yellow
animalColor crimson
animalColor pink
animalColor light blue
animalColor dark green
animalColor grey
animalColor dark orange
animalColor light green
animalColor dark grey
animalColor scintillating
animalColor glowing

animalTexture feathered
animalTexture furry
blocker climate veryHot
animalTexture smooth-skinned
blocker climate veryCold
animalTexture scaly
animalTexture spongy
blocker climate veryCold
animalTexture spiny
animalTexture fuzzy
animalTexture muscular
animalTexture armored
animalTexture gelatinous
animalTexture rugose
animalTexture segmented

plantDecoColor red
plantDecoColor green
plantDecoColor orange
plantDecoColor green
plantDecoColor purple
plantDecoColor black
plantDecoColor blue
plantDecoColor white
plantDecoColor yellow
plantDecoColor crimson
plantDecoColor pink
plantDecoColor light blue
plantDecoColor dark green
plantDecoColor grey
plantDecoColor dark orange
plantDecoColor light green
plantDecoColor brown

plantDeco hairs
desc fine {plantDecoColor} hairs

plantDeco thinLeaves
desc thin {leafColor} leaves

plantDeco broadLeaves
desc broad {leafColor} leaves

plantDeco spines
desc {plantDecoColor} spines

plantDeco thorns
desc {plantDecoColor} thorns

plantDeco barbs
desc {plantDecoColor} barbs

plantDeco warts
desc {plantDecoColor} warts

plantDeco fruit
desc {plantDecoColor} fruit

plantDeco flowers
desc {plantDecoColor} flowers

plantDeco tentacles
desc {plantDecoColor} tentacles

plantDeco blisters
desc {plantDecoColor} blisters

plantTexture smooth
plantTexture knotted
plantTexture brittle
plantTexture spongy
plantTexture reticulated

flora tubules
blocker surface desert
blocker surface icyDesert
land There are clusters of {plantTexture} {leafColor} tubules everywhere.
plural tubules
lurk in the tubules.
tall yes

flora bubbles
blocker surface jungle
land The local plant life takes the shape of small {leafColor} bubbles.
plural bubbles
lurk between the bubbles.
tall no

flora stalks
blocker surface icyDesert
land There are groups of tall, {leafColor} stalks everywhere.
plural stalks
lurk in the stalks.
tall yes

flora domes
blocker surface desert
blocker surface icyDesert
land The plants take the shape of giant {leafColor} geodesic domes.
plural domes
lurk high up in the dome-plants.
tall yes

flora deepForests
blocker surface tundra
blocker surface desert
blocker surface icyDesert
blocker surface rocks
blocker surface jaggedRocks
blocker surface jungle
land Deep, dark forests cover the land.
plural trees
lurk in the branches.
tall yes

flora fungalThicket
blocker surface tundra
blocker surface desert
blocker surface icyDesert
blocker surface rocks
blocker surface jungle
blocker surface jaggedRocks
land An impassable {leafColor} fungal thicket covers the land.
plural fungal towers
lurk in the deepest fungal thickets.
tall yes

flora treeTowers
blocker surface desert
blocker surface icyDesert
blocker surface rocks
blocker surface jaggedRocks
land There are giant tower-like trees with {leafColor} leaves.
plural trees
lurk in the branches.
tall yes

flora dottedShrubs
blocker surface jungle
land The occasional {leafColor} shrub.
plural shrubs
lurk in the leaves.
tall no

flora grass
blocker surface desert
blocker surface icyDesert
blocker surface rocks
blocker surface jungle
blocker surface jaggedRocks
land Deep {leafColor} grass covers everything.
plural blades of grass
lurk in the grass.
tall no

flora grassClumps
blocker surface desert
blocker surface icyDesert
blocker surface rocks
blocker surface jungle
land Clumps of {leafColor} grass.
plural blades of grass
lurk in the grass.
tall no

flora lichen
blocker surface jungle
land A thin dusting of {leafColor} lichen covers the land.
plural clumps of lichen
lurk in nooks and crannies.
tall no

flora floatingPlants
land Some local plants hover in mid-air, held aloft by gas bags.
plural floating plants
lurk between the tentacles of the flying plants.
tall yes

flora giantFlowers
blocker surface desert
blocker surface icyDesert
blocker surface rocks
land The local plants produce massive flowers in all kinds of colors, sitting atop thick {leafColor} stems.
plural flowers
lurk in the flowers.
tall yes

flora fungi
land There are scattered {leafColor} fungi.
plural fungi
lurk under the fungi.
tall no

flora moss
blocker surface desert
blocker surface icyDesert
blocker surface rocks
blocker surface jaggedRocks
land The surface is covered in thick mats of {leafColor} moss.
plural clumps of moss
lurk in the moss.
tall no

flora spines
blocker surface desert
blocker surface icyDesert
blocker surface rocks
land The plants are tall {plantTexture} spines.
plural spines
lurk in the spines.
tall yes

flora sheets
blocker surface desert
blocker surface icyDesert
blocker surface rocks
blocker surface jungle
blocker surface jaggedRocks
land The land is covered in {leafColor} vertical sheets of plant matter.
plural sheets
lurk between the sheets.
tall yes

flora toppedStalks
blocker surface desert
blocker surface icyDesert
blocker surface rocks
blocker surface jaggedRocks
land The plants are tall stalks covered in {plantDeco:desc}, with a single {leafColor}, circular leaf at the top.
plural stalks
lurk in the leaves.
tall yes

flora nonToppedStalks
blocker surface desert
blocker surface icyDesert
blocker surface rocks
blocker surface jaggedRocks
land The plants are {leafColor}, {plantTexture} stalks with {plantDeco:desc} at the top.
plural stalks
lurk on the stalks.
tall yes

flora squatTrunks
blocker surface jungle
land The plants are squat, {plantTexture} trunks with {plantDeco:desc}.
plural trunks
lurk between the plants.
tall no

flora barrels
blocker surface jungle
land The local plants take the shape of squat {leafColor} barrels covered with {plantDeco:desc}.
plural barrels
lurk between the plants.
tall no

fauna giantHives
blocker surface:land no
desc Giant hives of small, {animalTexture}, {symmetry:many}-legged creatures dominate. {lifeSpecial:plural}

fauna suckers
desc The apex predators on {nameStart}{nameEnd} {nameNumber} inject their prey with digestive enzymes. {lifeSpecial:plural}

fauna brainParasites
desc Vicious brain parasites lurk {surface:lurk} {lifeSpecial:plural}

fauna constantFliers
desc Large, {animalColor}, winged creatures spend their lives in flight, not even landing to reproduce. {lifeSpecial:plural}

fauna accumulators
desc The local animals build shells for themselves out of precious metals. {lifeSpecial:plural}

fauna skeletonRecyclers
desc The skeletons of deceased animals are re-used as shells by small {animalTexture} creatures. {lifeSpecial:plural}

fauna ambushPredators
desc Vicious {animalTexture} ambush predators lurk {surface:lurk} {lifeSpecial:plural}

fauna lurkingSwarms
desc Swarms of tiny {symmetry:fewLegged} animals {surface:lurk} {lifeSpecial:plural}

fauna rapidHerds
blocker surface:land no
desc Herds of fast-moving {symmetry:fewLegged} animals stampede across the land. {lifeSpecial:plural}

fauna insidePlants
blocker flora:tall no
desc Colonies of small {animalColor} creatures live inside the {flora:plural}. {lifeSpecial:plural}

fauna shapeShifters
desc One of the local animals can imitate the shape and sounds of any creature, even a sentient one. {lifeSpecial:desc}

fauna gasFloaters
blocker surface:land no
desc Grazing {animalColor} herbivores with {symmetry:fold} symmetry are held aloft by gas bags. {lifeSpecial:plural}

fauna waterSwarms
blocker surface:ocean no
desc Great swarms of {animalTexture} creatures inhabit the oceans. {lifeSpecial:plural}

fauna deepScuttlers
blocker surface:ocean no
desc The ocean depths are home to {animalTexture} scuttling creatures. {lifeSpecial:plural}

fauna oceanWorms
blocker surface:ocean no
desc The ocean shallows are home to giant {animalColor} worms. {lifeSpecial:plural}

fauna oceanDrifters
blocker surface:ocean no
desc Sheets of organic material drift through the ocean, ensnaring their prey in a passive fashion. {lifeSpecial:plural}

fauna splashers
blocker surface:ocean no
desc Groups of {animalColor} creatures splash and frolic in the shallows. {lifeSpecial:plural}

fauna grazers
blocker surface:ocean no
desc Far below the surface, slow-moving {animalTexture} creatures graze on the ocean floor. {lifeSpecial:plural}

fauna oceanSails
blocker surface:ocean no
blocker climate cold
blocker climate veryCold
desc Large {animalColor} creatures use sails to drift across the ocean surface. {lifeSpecial:plural}

fauna oceanHunters
blocker surface:ocean no
desc Swift hunters with {symmetry:fold} symmetry stalk the sea. {lifeSpecial:plural}

fauna oceanColonies
blocker surface:ocean no
desc Large colonies of {animalTexture} {animalColor} creatures inhabit the shallows. {lifeSpecial:plural}

fauna hydrothermals
blocker surface:ocean no
blocker climate hot
blocker climate veryHot
blocker climate temperate
desc Small {animalColor} creatures cluster around hydrothermal vents. {lifeSpecial:plural}

fauna oceanGiants
blocker surface:ocean no
desc Gigantic {animalColor} creatures live in the ocean, moving slowly by using their {symmetry:waterPropulsion}. {lifeSpecial:plural}

fauna hyperPredators
desc The planet is home to extremely dangerous apex predators, {animalTexture} {animalColor} creatures that move faster than the eye can track. {lifeSpecial:plural}

fauna radiovores
desc The {animalTexture} local animals are able to feed on radioactivity. {lifeSpecial:plural}

fauna swarmers
desc Every {prime} years, billions of {animalTexture} creatures hatch all at once and begin to swarm, eating everything in their path. {lifeSpecial:plural}

fauna massiveHerds
blocker surface:land no
desc Massive herds of {symmetry:fewLegged}, {animalColor} beasts move across the planet in time with the seasons. {lifeSpecial:desc}

fauna invisiblePredators
desc The planet is home to a predatory creature that can turn itself invisible. {lifeSpecial:desc}

fauna landGiants
blocker surface:land no
desc Ancient, {symmetry:fewLegged}, {animalColor} giants move across the land. {lifeSpecial:plural}

fauna scuttlers
blocker surface:land no
desc The land is teeming with {symmetry:many}-legged {animalColor} scuttling creatures. {lifeSpecial:plural}

fauna furryFliers
blocker flora:tall no
blocker surface:land no
desc Small, {animalTexture}, flying creatures zip between the {flora:plural}. {lifeSpecial:plural}

fauna sessileTentacles
desc Sessile {animalTexture} tentacles lie in wait for their victims. {lifeSpecial:plural}

fauna burrowers
blocker surface:land no
desc Small {animalTexture} burrowers make giant nests. {lifeSpecial:plural}

fauna packHunters
desc Hundreds of {animalColor} animals hunt in well-coordinated packs. {lifeSpecial:plural}

fauna giantNests
blocker surface:land no
blocker flora:tall no
desc Groups of {animalTexture} animals work together to build giant, intricate dens out of the {flora:plural}. {lifeSpecial:plural}

fauna psiConvincers
desc Squat, {animalTexture} creatures use their psionic abilities to convince their prey to simply lie down and accept being eaten. {lifeSpecial:plural}

fauna poisonDarters
desc The animals of {nameStart}{nameEnd} {nameNumber} avail themselves of poisonous darts used both for defense and hunting. {lifeSpecial:plural}

fauna motilePlants
blocker surface:land no
desc The "animals" on {nameStart}{nameEnd} {nameNumber} are heavily modified, mobile plants. {lifeSpecial:plural}

fauna segmented
blocker surface:land no
blocker animalTexture segmented
desc Giant many-segmented {animalTexture} creatures slide along, crushing everything in their path. {lifeSpecial:plural}

fauna social
desc The local creatures live in tight-knit family units. {lifeSpecial:plural}

fauna worms
blocker surface:land no
desc The {flora:plural} are covered in tiny {animalColor} worms. {lifeSpecial:plural}

fauna prettyFliers
blocker surface:land no
desc The air is filled with {animalColor} fluttering creatures. {lifeSpecial:plural}

fauna engulfers
desc The local animals take their prey by engulfing it. {lifeSpecial:plural}

fauna leapers
blocker flora:tall no
blocker surface:land no
desc Small {animalTexture} creatures rapidly leap between the {flora:plural}. {lifeSpecial:plural}

fauna wheels
blocker surface:land no
desc The planet's creatures have developed wheeled locomotion. {lifeSpecial:plural}

fauna ooze
desc The animal life on this planet is a kind of protoplasmic ooze capable of temporarily forming itself into myriad shapes. {lifeSpecial:desc}

lifeSpecial radar
plural They use a biological radar to perceive the world around them.
desc The local creatures use a biological radar to perceive the world.

lifeSpecial masks
blocker fauna sessileTentacles
blocker fauna ooze
plural Their faces look like colorful masks.
desc The faces of the local creatures look like colorful masks.

lifeSpecial hibernate
plural They spend most of their lives in hibernation, punctuated by rapid bursts of activity when conditions are right.
desc The local creatures spend most of their lives in hibernation, punctuated by rapid bursts of activity when conditions are right.

lifeSpecial falseBodies
plural They build decoy bodies from special secretions.
desc The local creatures use their secretions to build decoy bodies.

lifeSpecial horns
plural Their heads have {symmetry:some} horns.
desc Many animals on {nameStart}{nameEnd} {nameNumber} have {symmetry:some} horns.

lifeSpecial cilia
plural Their bodies are covered in sensory cilia.
desc The bodies of the local fauna are covered in sensory cilia.

lifeSpecial growth
plural They keep growing as they age, leading to some massive specimens.
desc The local animals keep growing as they age, leading to some massive specimens.

lifeSpecial eyeStrip
plural A narrow strip of eyes wraps around their bodies, giving them 360-degree vision.
desc A narrow strip of eyes wraps around the bodies of most local animals, giving them 360-degree vision.

lifeSpecial explode
plural As a last-ditch defense mechanism, they will literally explode.
desc Some of the local creatures will literally explode as a last-ditch defense mechanism.

lifeSpecial hollowSymbiotes
plural Symbiotic creatures live on their skin, keeping away pests and attackers.
desc Symbiotic creatures live on the skin of many of the local animals, keeping away pests and attackers.

lifeSpecial buddingOff
plural They reproduce by budding off.
desc The local lifeforms reproduce by budding off.

lifeSpecial sporeRepro
blocker surface:land no
plural They reproduce by sporulation.
desc The local lifeforms reproduce by sporulation.

lifeSpecial eatenByOffspring
plural Their offspring eat their way out of them.
desc The offspring of the animals on the planet simply eat their way out.

lifeSpecial parasiticalReproduction
plural They implant their eggs into the living tissues of animals they catch for this purpose.
desc Many of the local animals implant their eggs into the tissues of other living animals.

lifeSpecial splitting
plural They reproduce by splitting along their seams, resulting in {symmetry:some} equally-sized offspring.
desc The creatures on this planet reproduce by splitting along their seams, resulting in {symmetry:some} equally-sized  offspring.

lifeSpecial temporaryEyes
plural They have many eyes on stalks, which frequently drop off and regrow.
desc The eyes of the local animals frequently drop off and regrow.

lifeSpecial psiShock
plural When threatened, they use psionic powers to stun their potential attackers.
desc The local lifeforms have psionic powers they use to stun potential threats.

lifeSpecial humming
plural They emit a constant humming sound.
desc There is a constant humming sound.

lifeSpecial psiNightmares
plural Their psionic abilities cause constant nightmares.
desc The psionic abilities of the local lifeforms cause constant nightmares.

lifeSpecial psiEuphoria
plural Their psionic abilities cause a dangerous feeling of constant euphoria.
desc The psionic abilities of the local lifeforms cause a dangerous feeling of constant euphoria.

lifeSpecial braying
plural They make loud braying sounds.
desc One of the local creatures makes loud braying sounds.

lifeSpecial hissing
plural They make quiet hissing sounds.
desc There are quiet hissing sounds coming from somewhere.

lifeSpecial chittering
plural They use a chittering sound to communicate.
desc Chittering sounds occasionally erupt from groups of local animals.

lifeSpecial soundStun
plural They use extremely loud sounds to stun their victims.
desc One of the local predators uses extremely loud sounds to stun its prey.

lifeSpecial electricShocks
plural They can produce powerful electric shocks to defend themselves.
desc Some of the local animals can produce powerful electric shocks to defend themselves.

lifeSpecial bioLaser
plural They are able to emit laser-like blasts of light to hurt and disorient their enemies.
desc Some of the wildlife can emit laser-like blasts of light to hurt and disorient their enemies.

lifeSpecial nests
plural They build nests in the {flora:plural}.
desc There are many nests in the {flora:plural}.

lifeSpecial climbers
blocker flora:tall no
blocker fauna leapers
plural They are often seen climbing in the {flora:plural}.
plural Many animals can be found climbing in the {flora:plural}.

lifeSpecial fungalZombies
blocker surface:land no
plural {lifeSpecial:desc}
desc The local fungus takes over the motor functions of deceased animals, using their decaying bodies to spread and feed itself.

lifeSpecial bigEyed
plural They each have a single, massive eye.
desc Most of the creatures on {nameStart}{nameEnd} {nameNumber} have a single, massive eye.

lifeSpecial manyEyed
plural Their eyes are clustered at the end of long tentacles.
desc The eyes of the local animals are clustered at the end of long tentacles.

lifeSpecial treeEggs
blocker flora:tall no
blocker surface:land no
plural They lay millions of tiny eggs in the {flora:plural}.
desc The {flora:plural} are covered in millions of tiny eggs.

lifeSpecial pharmaceuticals
blocker surface:land no
plural {lifeSpecial:desc}
desc Some of the local plants have interesting pharmaceutical properties.

lifeSpecial toxic
plural {lifeSpecial:desc}
desc The biochemistry of the local life is toxic.

lifeSpecial clingons
plural They have a tendency to cling on to the hulls of visiting spaceships.
desc The local wildlife has a tendency to cling on to the hulls of visiting spaceships.

lifeSpecial rapidMutation
plural {lifeSpecial:desc}
desc Life on the planet mutates and evolves at a rapid pace.

lifeSpecial fires
plural {lifeSpecial:desc}
desc There are constant fires filling the skies with smoke.

lifeSpecial selfImmolation
plural {lifeSpecial:desc}
desc The local {flora:plural} periodically set themselves on fire to spread their seeds.

lifeSpecial pollen
blocker surface:land no
blocker special thinAir
plural {lifeSpecial:desc}
desc The air is filled with a thick haze of pollen.

lifeSpecial spores
blocker surface:land no
blocker special thinAir
plural {lifeSpecial:desc}
desc The air is filled with a thick haze of spores.

lifeSpecial hairs
blocker surface:land no
blocker special thinAir
plural {lifeSpecial:desc}
desc The air is filled with a thick haze of hairs.

lifeSpecial symbiosis
plural {lifeSpecial:desc}
desc The local life is enmeshed in a complex symbiotic network.

lifeSpecial morphs
plural {lifeSpecial:desc}
desc Most of the local animals are different morphs of the same highly versatile species.

lifeSpecial superorganism
plural {lifeSpecial:desc}
desc The lifeforms on this planet appear to be part of a kind of superorganism.

lifeSpecial hallucinogens
plural {lifeSpecial:desc}
desc The air is filled with organic compounds that induce hallucinations.

lifeSpecial songs
plural They produce eerie but beautiful songs.
desc The local creatures produce eerie but beautiful songs.

lifeSpecial dissolvingFungus
blocker surface:land no
plural {lifeSpecial:desc}
desc The local fungus dissolves everything in its path, even spacecraft hulls.

lifeSpecial immortal
plural They are functionally immortal.
desc Most of the animal life is functionally immortal, dying only when eaten or otherwise killed.

lifeSpecial echolocating
blocker surface:land no
plural They use echolocation to find their way around, filling the air with chirps and trills.
desc Most of the local animals use echolocation to find their way around, filling the air with chirps and trills.

lifeSpecial nothingSpecial
plural  
desc  
